model,lambda_c,fold,strategy,n_interventions,accuracy,run_id,run_name,source_summary_key
CEM,0.1,5,random,0,0.83690587138863,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,1,0.8363733191319398,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,2,0.8367727333244575,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,3,0.83690587138863,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,4,0.8371721475169751,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,5,0.8373052855811477,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,6,0.8375715617094928,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,7,0.8375715617094928,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,8,0.8374384236453202,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,9,0.8377046997736652,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,10,0.8379709759020104,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,11,0.8383703900945281,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,12,0.8386366662228731,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,13,0.8389029423512182,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,14,0.8393023565437359,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,15,0.8391692184795633,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,16,0.8395686326720809,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,5,random,17,0.8397017707362535,3d1ebbbc,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_5,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,0,0.8310477965650379,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,1,0.8313140726933831,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,2,0.8314472107575556,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,3,0.8319797630142458,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,4,0.8315803488217282,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,5,0.8314472107575556,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,6,0.8318466249500732,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,7,0.8325123152709359,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,8,0.8325123152709359,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,9,0.8331780055917987,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,10,0.8330448675276262,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,11,0.8335774197843163,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,12,0.834243110105179,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,13,0.8341099720410066,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,14,0.8343762481693516,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,15,0.8349088004260418,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,16,0.8349088004260418,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,1,random,17,0.8351750765543869,u3j31245,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,0,0.8230595127146851,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,1,0.8230595127146851,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,2,0.8234589269072028,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,3,0.8235920649713753,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,4,0.8238583410997204,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,5,0.8238583410997204,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,6,0.8242577552922381,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,7,0.8250565836772733,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
